SUBSCRIBER_ID,BNUM_OUT,BNUM_IN,PROD_CNT_MACRO,REV_BUN_MAC,REV_OUT,USAGE_OUT_INT_DUR,USAGE_OUT_OFFNET_DUR,USAGE_OUT_ONNET_DUR,LNE_TENURE,TOPUP_AMT,TOPUP_CNT,CHURN
2908,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,113,-1.0,-1.0,0
2909,2.0,0.0,-1.0,-1.0,1.0,0.0,10.0,0.0,91,2.0,1.0,0
2910,12.0,20.0,0.0,-1.0,5.0,0.0,7.0,28.0,146,4.0,2.0,0
2911,2.0,2.0,-1.0,-1.0,1.0,0.0,5.0,0.0,94,1.0,2.0,0
2912,24.0,21.0,0.0,-1.0,10.0,0.0,54.0,30.0,91,13.0,3.0,0
2913,9.0,7.0,-1.0,-1.0,5.0,0.0,36.0,5.0,142,5.0,1.0,0
2914,55.0,47.0,4.0,5.0,3.0,3.0,0.0,325.0,142,9.0,6.0,0
2915,0.0,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,187,1.0,1.0,0
2916,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,189,-1.0,-1.0,1
2917,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,141,-1.0,-1.0,0
2918,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,49,-1.0,-1.0,1
2919,4.0,12.0,-1.0,-1.0,1.0,0.0,1.0,6.0,101,-1.0,-1.0,0
2920,1.0,1.0,-1.0,-1.0,0.0,0.0,2.0,0.0,150,-1.0,-1.0,1
2921,13.0,30.0,0.0,-1.0,3.0,0.0,1.0,13.0,139,3.0,3.0,0
2922,49.0,54.0,-1.0,-1.0,43.0,9.0,80.0,206.0,140,50.0,11.0,0
2923,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,149,-1.0,0.0,0
2924,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,101,-1.0,-1.0,0
2925,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,89,-1.0,-1.0,0
2926,5.0,13.0,-1.0,-1.0,1.0,0.0,1.0,0.0,118,1.0,1.0,0
2927,11.0,10.0,3.0,2.0,3.0,0.0,0.0,484.0,136,5.0,4.0,0
2928,2.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,162,-1.0,0.0,1
2929,15.0,18.0,-1.0,-1.0,5.0,0.0,16.0,17.0,141,5.0,5.0,0
2930,12.0,16.0,-1.0,-1.0,3.0,0.0,0.0,1.0,102,3.0,4.0,0
2931,17.0,8.0,3.0,2.0,1.0,0.0,1.0,284.0,59,4.0,3.0,0
2932,8.0,6.0,0.0,-1.0,2.0,0.0,5.0,8.0,100,-1.0,0.0,0
2933,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,107,-1.0,-1.0,0
2934,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,107,-1.0,-1.0,1
2935,2.0,8.0,-1.0,-1.0,0.0,0.0,0.0,3.0,45,1.0,1.0,0
2936,4.0,24.0,0.0,-1.0,1.0,0.0,1.0,3.0,160,1.0,1.0,0
2937,11.0,6.0,0.0,-1.0,4.0,0.0,7.0,20.0,188,7.0,2.0,1
2938,1.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,107,-1.0,-1.0,1
2939,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,104,-1.0,-1.0,1
2940,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,102,-1.0,-1.0,0
2941,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,146,-1.0,-1.0,0
2942,2.0,8.0,-1.0,-1.0,0.0,0.0,1.0,0.0,93,-1.0,-1.0,0
2943,13.0,22.0,-1.0,-1.0,5.0,0.0,4.0,33.0,97,5.0,3.0,0
2944,0.0,13.0,-1.0,-1.0,0.0,0.0,0.0,0.0,91,-1.0,-1.0,0
2945,33.0,20.0,6.0,5.0,0.0,0.0,0.0,557.0,141,5.0,6.0,0
2946,7.0,14.0,-1.0,-1.0,2.0,0.0,5.0,9.0,113,7.0,2.0,0
2947,3.0,0.0,0.0,-1.0,1.0,0.0,3.0,1.0,135,2.0,1.0,0
2948,4.0,26.0,0.0,-1.0,1.0,0.0,2.0,11.0,164,2.0,1.0,0
2949,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,105,-1.0,-1.0,0
2950,0.0,19.0,-1.0,-1.0,0.0,0.0,0.0,0.0,113,-1.0,-1.0,0
2951,3.0,1.0,3.0,4.0,0.0,0.0,0.0,499.0,112,4.0,2.0,0
2952,0.0,2.0,0.0,-1.0,3.0,0.0,0.0,0.0,90,3.0,2.0,1
